time_stamp, elapsed_time, camera_id, face_count, avg_FEQ, person1, person2, person3, person4, person5, person6, person7, person8, person9
2018-06-14-09:53:30.570, 16.603607, 4, 3, 0.020786402747035027, 0.013325147330760956, 0.02433019131422043, 0.024703869596123695
2018-06-14-09:53:30.699, 16.73362, 4, 2, 0.010967378038913012, 0.011158030480146408, 0.010776725597679615
2018-06-14-09:53:30.830, 16.864058, 4, 3, 0.010992983976999918, 0.008156249299645424, 0.015189049765467644, 0.009633652865886688
2018-06-14-09:53:30.961, 16.995586, 4, 3, 0.01515390413502852, 0.011201213113963604, 0.014503580518066883, 0.019756918773055077
2018-06-14-09:53:31.100, 17.134532, 4, 3, 0.013084853067994118, 0.009090384468436241, 0.01778038963675499, 0.012383785098791122
2018-06-14-09:53:31.230, 17.264109, 4, 3, 0.022686464091142017, 0.017576882615685463, 0.02437659539282322, 0.026105914264917374
2018-06-14-09:53:31.389, 17.423199, 4, 3, 0.01963786967098713, 0.01711089164018631, 0.01584536023437977, 0.02595735713839531
2018-06-14-09:53:31.523, 17.556852, 4, 3, 0.015845173659423988, 0.014672034420073032, 0.01501474715769291, 0.01784873940050602
2018-06-14-09:53:31.661, 17.695411, 4, 3, 0.01664081308990717, 0.015663649886846542, 0.009974920190870762, 0.024283869192004204
2018-06-14-09:53:31.768, 17.801759, 4, 3, 0.017216650148232777, 0.020567096769809723, 0.011288074776530266, 0.019794778898358345
2018-06-14-09:53:31.932, 17.966015, 4, 3, 0.019324484281241894, 0.019087431952357292, 0.010611421428620815, 0.028274599462747574
2018-06-14-09:53:32.041, 18.075545, 4, 3, 0.019819531900187332, 0.013222822919487953, 0.013584393076598644, 0.0326513797044754
2018-06-14-09:53:32.200, 18.234545, 4, 3, 0.019194142272075016, 0.0194193497300148, 0.013222822919487953, 0.024940254166722298
2018-06-14-09:53:32.326, 18.360522, 4, 3, 0.011693737780054411, 0.012920472770929337, 0.01214717049151659, 0.010013570077717304
2018-06-14-09:53:32.461, 18.495203, 4, 3, 0.01126491775115331, 0.011961097829043865, 0.008813166059553623, 0.013020489364862442
2018-06-14-09:53:32.602, 18.636117, 4, 3, 0.009622970130294561, 0.00978387612849474, 0.012100384570658207, 0.006984649691730738
2018-06-14-09:53:32.742, 18.775913, 4, 3, 0.009318406383196512, 0.008445627987384796, 0.013121270574629307, 0.006388320587575436
2018-06-14-09:53:32.882, 18.916476, 4, 3, 0.007809390779584646, 0.00787670724093914, 0.009974920190870762, 0.0055765449069440365
2018-06-14-09:53:33.020, 19.053924, 4, 3, 0.008990910525123278, 0.00787670724093914, 0.011158030480146408, 0.007937993854284286
2018-06-14-09:53:33.146, 19.180331, 4, 3, 0.007905392597119013, 0.007518718019127846, 0.01005236804485321, 0.006145091727375984
2018-06-14-09:53:33.280, 19.314452, 4, 3, 0.008263950857023398, 0.01036815531551838, 0.011201213113963604, 0.003222484141588211
2018-06-14-09:53:33.411, 19.445534, 4, 3, 0.00828672720429798, 0.010693758726119995, 0.011288074776530266, 0.002878348110243678
2018-06-14-09:53:33.572, 19.6059, 4, 3, 0.006806737238851686, 0.0077255344949662685, 0.011732464656233788, 0.0009622125653550029
2018-06-14-09:53:33.681, 19.71518, 4, 3, 0.009321791818365455, 0.014392335899174213, 0.010248602367937565, 0.0033244371879845858
2018-06-14-09:53:33.837, 19.871665, 4, 3, 0.00784586432079474, 0.009232214652001858, 0.010902373120188713, 0.003403005190193653
2018-06-14-09:53:33.970, 20.004518, 4, 3, 0.00915521204782029, 0.013689476996660233, 0.010652510449290276, 0.0031236486975103617
2018-06-14-09:53:34.103, 20.136762, 4, 3, 0.006370356112408142, 0.008124709129333496, 0.00955939944833517, 0.001426959759555757
2018-06-14-09:53:34.241, 20.275391, 4, 3, 0.00804526312276721, 0.008348054252564907, 0.012194132432341576, 0.0035936026833951473
2018-06-14-09:53:34.369, 20.403706, 4, 3, 0.006136779091320932, 0.007636216469109058, 0.00912563782185316, 0.0016484829830005765
2018-06-14-09:53:34.503, 20.537259, 4, 3, 0.011335188833375772, 0.007999754510819912, 0.02262919954955578, 0.003376612439751625
2018-06-14-09:53:34.640, 20.674499, 4, 3, 0.011026738832394281, 0.009055264294147491, 0.01659317873418331, 0.007431773468852043
2018-06-14-09:53:34.772, 20.8062, 4, 3, 0.011501492311557135, 0.011597362346947193, 0.018020739778876305, 0.004886374808847904
2018-06-14-09:53:34.911, 20.945318, 4, 3, 0.018943323753774166, 0.010776725597679615, 0.01572399027645588, 0.030329255387187004
2018-06-14-09:53:35.040, 21.074454, 4, 3, 0.009557094114522139, 0.008315778337419033, 0.008847354911267757, 0.011508149094879627
2018-06-14-09:53:35.201, 21.234737, 4, 3, 0.012055762267361084, 0.0072890776209533215, 0.011029469780623913, 0.01784873940050602
2018-06-14-09:53:35.341, 21.375455, 4, 3, 0.013131193506220976, 0.01659317873418331, 0.007785654626786709, 0.01501474715769291
2018-06-14-09:53:35.468, 21.50177, 4, 3, 0.010490896335492531, 0.011463796719908714, 0.01243165135383606, 0.0075772409327328205
2018-06-14-09:53:35.601, 21.634962, 4, 3, 0.011131371216227611, 0.012100384570658207, 0.01428193412721157, 0.007011794950813055
2018-06-14-09:53:35.732, 21.766481, 4, 3, 0.012041233324756226, 0.01379536371678114, 0.018194368109107018, 0.004133968148380518
2018-06-14-09:53:35.870, 21.903769, 4, 3, 0.009362061352779468, 0.008445627987384796, 0.011915021575987339, 0.0077255344949662685
2018-06-14-09:53:36.000, 22.034521, 4, 3, 0.009004642566045126, 0.009485713206231594, 0.007968815043568611, 0.00955939944833517
2018-06-14-09:53:36.172, 22.206378, 4, 3, 0.007968961105992397, 0.008251599036157131, 0.00847840216010809, 0.007176882121711969
2018-06-14-09:53:36.282, 22.315907, 4, 3, 0.011276128857086102, 0.011029469780623913, 0.01542455144226551, 0.007374365348368883
2018-06-14-09:53:36.422, 22.456583, 4, 3, 0.00932176069666942, 0.01005236804485321, 0.009974920190870762, 0.007937993854284286
2018-06-14-09:53:36.571, 22.60569, 4, 3, 0.011519152981539568, 0.01711089164018631, 0.01141961570829153, 0.0060269515961408615
2018-06-14-09:53:36.702, 22.736378, 4, 3, 0.013118524104356766, 0.013584393076598644, 0.013902057893574238, 0.011869121342897415
2018-06-14-09:53:36.841, 22.875035, 4, 3, 0.011914541944861412, 0.01287075038999319, 0.012383785098791122, 0.010489090345799923
2018-06-14-09:53:36.972, 23.006419, 4, 3, 0.01490695308893919, 0.011961097829043865, 0.01484241709113121, 0.017917344346642494
2018-06-14-09:53:37.110, 23.144721, 4, 3, 0.010437308344990015, 0.008813166059553623, 0.004718369338661432, 0.01778038963675499
2018-06-14-09:53:37.239, 23.273536, 4, 3, 0.011353697006901106, 0.016277460381388664, 0.007999754510819912, 0.00978387612849474
2018-06-14-09:53:37.411, 23.445493, 4, 3, 0.011485681869089603, 0.010130411945283413, 0.009020280092954636, 0.015306353569030762
2018-06-14-09:53:37.539, 23.573131, 4, 3, 0.014578116126358509, 0.012241275049746037, 0.01384861022233963, 0.01764446310698986
2018-06-14-09:53:37.671, 23.705332, 4, 3, 0.012482806419332823, 0.012100384570658207, 0.01155267097055912, 0.01379536371678114
2018-06-14-09:53:37.811, 23.845422, 4, 3, 0.015068095177412033, 0.021206120029091835, 0.007907291874289513, 0.01609087362885475
2018-06-14-09:53:37.910, 23.943816, 4, 2, 0.007754065562039614, 0.005099818110466003, 0.010408313013613224
2018-06-14-09:53:38.040, 24.074204, 4, 2, 0.023172342218458652, 0.03488088771700859, 0.011463796719908714
2018-06-14-09:53:38.171, 24.204957, 4, 2, 0.01888231630437076, 0.03055986389517784, 0.007204768713563681
